1:l;2:TT;3:EE;4:TE;5:BB;6:phiphi;7:TPhi;8:Ephi
1835    ;4112512617518    ;1072832852638    ;-0.2017507321022;0.000000000000e+00;0.0005108746563697;0.00004784204627945;-0.0000101302658359
1836    ;4093339315371    ;1081010558672    ;-0.191942523472;0.000000000000e+00;0.0005096795091363;0.00004828761332382;-0.00001027976338894
1837    ;4074170827937    ;1089263292149    ;-0.1828649374269;0.000000000000e+00;0.0005084876738013;0.00004872855428804;-0.000010426650007
1838    ;4055012460856    ;1097586305284    ;-0.1745166403567;0.000000000000e+00;0.0005072991400078;0.00004916564541419;-0.00001057096644868
1839    ;4035869542471    ;1105974828943    ;-0.1668962849025;0.000000000000e+00;0.0005061138972947;0.00004959966637872;-0.00001071275368002
1840    ;4016747423854    ;1114424072612    ;-0.1600025099341;0.000000000000e+00;0.0005049319350965;0.00005003140029709;-0.00001085205287483
1841    ;3997651478844    ;112292922437    ;-0.1538339405284;0.000000000000e+00;0.0005037532427429;0.00005046163372856;-0.00001098890541493
1842    ;397858710407    ;1131485450858    ;-0.1483891879462;0.000000000000e+00;0.0005025778094589;0.0000508911566808;-0.00001112335289051
1843    ;3959559718985    ;1140087897248    ;-0.1436668496107;0.000000000000e+00;0.0005014056243646;0.00005132076261463;-0.00001125543710036
1844    ;3940574765898    ;1148731687219    ;-0.1396655090845;0.000000000000e+00;0.0005002366764747;0.0000517512484487;-0.00001138520005223
1845    ;3921637710002    ;1157411922923    ;-0.1363837360477;0.000000000000e+00;0.0004990709546988;0.0000521834145642;-0.0000115126839631
1846    ;3902754039406    ;1166123684958    ;-0.1338200862752;0.000000000000e+00;0.0004979084478408;0.00005261806480953;-0.00001163793125944
1847    ;3883929265165    ;1174862032336    ;-0.1319731016148;0.000000000000e+00;0.0004967491445991;0.00005305600650504;-0.00001176098457758
1848    ;3865168921312    ;1183622002458    ;-0.1308413099647;0.000000000000e+00;0.000495593033566;0.00005349805044766;-0.00001188188676395
1849    ;3846478564886    ;119239861108    ;-0.130423225251;0.000000000000e+00;0.0004944401032281;0.00005394501091565;-0.00001200068087537
1850    ;3827863775964    ;1201186852287    ;-0.1307173474057;0.000000000000e+00;0.0004932903419654;0.00005439770567329;-0.00001211741017941
1851    ;3809330157693    ;1209981698464    ;-0.131722162344;0.000000000000e+00;0.0004921437380518;0.00005485695597553;-0.00001223211815461
1852    ;3790883336319    ;1218778100263    ;-0.1334361419423;0.000000000000e+00;0.0004910002796546;0.00005532358657275;-0.00001234484849083
1853    ;3772528961216    ;1227570986578    ;-0.1358577440157;0.000000000000e+00;0.0004898599548342;0.00005579842571541;-0.00001245564508951
1854    ;3754272704922    ;1236355264511    ;-0.1389854122957;0.000000000000e+00;0.0004887227515442;0.00005628230515876;-0.00001256455206399
1855    ;3736120263162    ;1245125819349    ;-0.1428175764081;0.000000000000e+00;0.0004875886576313;0.00005677606016753;-0.00001267161373981
1856    ;3718077354886    ;1253877514529    ;-0.1473526518501;0.000000000000e+00;0.0004864576608345;0.00005728052952063;-0.00001277687465498
1857    ;3700149722295    ;126260519161    ;-0.1525890399687;0.000000000000e+00;0.0004853297487858;0.00005779655551586;-0.0000128803795603
1858    ;3682343130872    ;1271303670247    ;-0.1585251279377;0.000000000000e+00;0.0004842049090094;0.00005832498397457;-0.00001298217341963
1859    ;3664663369414    ;1279967748157    ;-0.165159288736;0.000000000000e+00;0.0004830831289217;0.00005886666424639;-0.00001308230141023
1860    ;3647116250064    ;1288592201093    ;-0.1724898811248;0.000000000000e+00;0.0004819643958312;0.0000594224492139;-0.00001318080892301
1861    ;3629707608336    ;1297171782813    ;-0.1805152496254;0.000000000000e+00;0.0004808486969381;0.00005999319529736;-0.00001327774156284
1862    ;3612443303153    ;1305701225052    ;-0.1892337244971;0.000000000000e+00;0.0004797360193347;0.00006057976245935;-0.00001337314514888
